source_hgnc;interaction_directed_signed;target_hgnc;database;ref;no_ref;source_uniprot;target_uniprot
CUL1;INHIBIT;CTNNB1;"CancerCellMap;Signor;Laudanna_sigflow;InnateDB";"10023660;10228155;10023660;10713156";4;Q13616;P35222
PSMA7;ACTIVATE;CUL1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"21145461;16759355";2;O14818;Q13616
CUL1;ACTIVATE;E2F1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang";"10559858;10559858";2;Q13616;Q01094
CAND1;INHIBIT;CUL1;"HPRD;BioGRID;ACSN;InnateDB;SPIKE;IntAct;DIP";"16036220;22013077;22767593;15208392;17438373;12609982;22405651;12684064;15208391;16045473;21249194;21145461;12706828;22474075;17439941;21778237;23453757;12504026;18826954;16861300;16036220;12504025;18173839;21169563;18550827;17079684;17158585;23019411;25435324;16861300;21145461;12609982;12684064;17290223;12609982;12504026;12609982;12504026";38;Q86VP6;Q13616
CUL1;INHIBIT;SMAD3;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";11359933;1;Q13616;P84022
RBX1;ACTIVATE;CUL1;"Laudanna_effects;HPRD;Laudanna_sigflow;ACSN;IntAct;DIP;SignaLink3;CancerCellMap;BioGRID;Wang;InnateDB";"10535940;11961546;11861641;10713156;12609982;16759355;10230407;12706828;11956208;20832730;10230406;10648623;19933270;18805092;19250909;26344197;22767593;12215511;12840033;12609982;16759355;22405651;26540345;16123592;22822056;12565873;17158585;12684064;15361859;10230406;20638939;16880526;23770852;11384984;10230407;12706828;12904573;19245792;22474075;12167173;11483504;11961546;11337588;18826954;11027288;15749712;21765416;12481031;15448697;26725323;10648623;19933270;12504025;10748083;24949976;15659098;21169563;10713156;11861641;19942853;17452440;15860010;12417738;11956208;16275325;20832730;23535663;12381738;11245432;11359933;20399188;21765416;11961546;12417738;11956208;12609982;10648623;12504026;18805092;11961546;11961546";81;P62877;Q13616
UBE2M;ACTIVATE;CUL1;"SPIKE;BioGRID;IntAct";"10713156;18826954;21946088;21765416;19245792;21247897;17914462";7;P61081;Q13616
CUL1;INHIBIT;NFKBIA;"Laudanna_effects;HPRD;Laudanna_sigflow;ACSN;IntAct;CancerCellMap;BioGRID;Wang;InnateDB";"11027288;10713156;22590978;10066435;11483504;10066435;14743216;10713156;10066435;9990852;17914462;14743216";12;Q13616;P25963
CUL1;INHIBIT;CDK2;"Wang;BioGRID;Laudanna_sigflow;InnateDB";"21145461;26186194;9636170;9736735";4;Q13616;P24941
CUL1;INHIBIT;CDKN1A;"Wang;Laudanna_effects;Laudanna_sigflow;InnateDB";9736735;1;Q13616;P38936
